label,message
ham,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,ok lar joking wif u oni
spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
ham,u dun say early hor u c already say
ham,nah dont think he goes usf he lives around though
spam,freemsg hey darling weeks no word back id like fun you still tb ok xxx std chgs send rcv
ham,even my brother not like speak me treat me like aids patent
ham,per your request melle melle oru minnaminunginte nurungu vettam set your callertune callers press copy your friends callertune
spam,winner valued network customer you selected receivea prize reward claim call claim code kl valid hours
spam,your mobile months u r entitled update latest colour mobiles camera free call mobile update co free
ham,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today
spam,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
spam,urgent you week free membership prize jackpot txt word claim no tc lccltd pobox ldnwarw
ham,ive searching right words thank you breather promise wont take your help granted fulfil my promise you wonderful blessing times
ham,date sunday
spam,xxxmobilemovieclub use your credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl
ham,oh kim watching
ham,eh u remember spell name yes he v naughty make v wet
ham,fine thats way u feel thats way gota b
spam,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq
ham,seriously you spell name
ham,im going try months ha ha joking
ham,pay first lar da stock comin
ham,aft finish my lunch go str lor ard smth lor u finish ur lunch already
ham,ffffffffff alright no way meet you sooner
ham,forced eat slice im really not hungry tho sucks mark getting worried he knows im sick turn pizza lol
ham,lol your always convincing
ham,you catch bus you frying egg you make tea you eating your moms left dinner you feel my love
ham,im back amp packing car ill let you know theres room
ham,ahhh work vaguely remember feel like lol
ham,wait thats still not clear you not sure me sarcastic thats x doesnt want live us
ham,yeah he got v apologetic n fallen she actin like spoilt child he got caught till wont go not badly cheers you
ham,k tell me anything you
ham,fear fainting housework you quick cuppa
spam,thanks your subscription ringtone uk your mobile charged month please confirm replying yes no you reply no you not charged
ham,yup ok go home look timings msg xuhui going learn nd may her lesson
ham,oops ill let you know my roommates done
ham,see letter b my car
ham,anything lor u decide
ham,hello hows you saturday go texting see youd decided anything tomo not im trying invite anything
ham,pls go ahead watts wanted sure great weekend abiola
ham,forget tell you want you need you crave you love you my sweet arabian steed mmmmmm yummy
spam,rodger burns msg tried call you your reply sms free nokia mobile free camcorder please call delivery tomorrow
ham,you seeing
ham,great hope you like your man well endowed ltgt inches
ham,no callsmessagesmissed calls
ham,didnt you get hep b immunisation nigeria
ham,fair enough anything going
ham,yeah hopefully tyler cant could maybe ask around bit
ham,u dont know stubborn didnt even want go hospital kept telling mark im not weak sucker hospitals weak suckers
ham,you thinked me first time you saw me class
ham,gram usually runs like ltgt half eighth smarter though gets you almost whole second gram ltgt
ham,k fyi x ride early tomorrow morning hes crashing place tonight
ham,wow never realized you embarassed your accomodations thought you liked since best could you always seemed happy cave im sorry didnt dont give im sorry offered im sorry your room embarassing
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,you know mallika sherawat yesterday find lturlgt
spam,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss
ham,sorry ill call later meeting
ham,tell you reached
ham,yesgauti sehwag odi series
ham,your gonna pick burger your way home cant even move pain killing me
ham,ha ha ha good joke girls situation seekers
ham,part checking iq
ham,sorry my roommates took forever ok come
ham,ok lar double check wif da hair dresser already he said wun cut v short he said cut look nice
spam,valued customer pleased advise you following recent review your mob no you awarded bonus prize call
ham,today song dedicated day song u dedicate me send ur valuable frnds first rply me
spam,urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj
spam,you hear new divorce barbie comes kens stuff
ham,plane give month end
ham,wah lucky man save money hee
ham,finished class you
ham,hi babe im home wanna something xx
ham,kkwhere youhow you performed
ham,u call me
ham,waiting machan call me you free
ham,thats cool gentleman treat you dignity respect
ham,like you peoples much shy pa
ham,not operate ltgt
ham,not still looking job much tas earn
ham,sorry ill call later
ham,k you call me ah
ham,ok way home hi hi
ham,you place man
ham,yup next stop
ham,call you later dont network urgnt sms me
ham,real u getting yo need tickets one jacket im done already used my multis
ham,yes started send requests make pain came back im back bed double coins factory gotta cash my nitros
ham,im really not still tonight babe
ham,ela kanoil download come wen ur free
ham,yeah dont stand close tho youll catch something
ham,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes my time sheets sorry
ham,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
spam,please call customer service representative ampm you guaranteed cash prize
ham,havent planning buy later check already lido got show e afternoon u finish work already
spam,your free ringtone waiting collected simply text password mix verify get usher britney fml
ham,watching telugu moviewat abt u
ham,see finish loads loans pay
ham,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
ham,please dont text me anymore nothing else say
ham,okay name ur price long legal wen pick u ave x ams xx
ham,im still looking car buy not gone driving test yet
ham,wow youre right didnt mean guess gave boston men changed my search location nyc something changed cuz my signin page still says boston
ham,umma my life vava umma love you lot dear
ham,thanks lot your wishes my birthday thanks you making my birthday truly memorable
ham,aight ill hit you get cash
ham,would my ip address test considering my computer isnt minecraft server
ham,know grumpy old people my mom like you better not lying always one play jokes
ham,dont worry guess hes busy
ham,plural noun research
ham,going dinnermsg you
ham,im ok wif cos like try new things scared u dun like mah cos u said not loud
spam,gent trying contact you last weekends draw shows you prize guaranteed call claim code k valid hrs ppm
ham,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
ham,entered my cabin my pa said happy bday boss felt special she askd me lunch lunch she invited me her apartment went
